FA/binder,CA/Binder,Binder (kg),% of SiO2,% of CaO,% of Al2O3,liquid/binder ratio,NaOH Molarity,Na2SiO3/  NaOH,Additional Water (%),SP (% of b),Curing temp (0 C),Age,Comp. Strength (Mpa),,
2.11,2.33,360.00,92.21,0.51,0.38,0.50,10.00,1.00,0.00,1.00,23.00,3.00,19.14,,
2.11,2.33,360.00,92.21,0.51,0.38,0.50,10.00,1.00,0.00,1.00,23.00,7.00,22.88,,
2.11,2.33,360.00,92.21,0.51,0.38,0.50,10.00,1.00,0.00,1.00,23.00,14.00,24.53,,
2.11,2.33,360.00,92.21,0.51,0.38,0.50,10.00,1.00,0.00,1.00,23.00,28.00,25.41,,
2.12,2.34,360.00,61.00,2.64,22.83,0.50,10.00,1.00,0.00,1.00,23.00,3.00,8.03,,
2.12,2.34,360.00,61.00,2.64,22.83,0.50,10.00,1.00,0.00,1.00,23.00,7.00,11.66,,
2.12,2.34,360.00,61.00,2.64,22.83,0.50,10.00,1.00,0.00,1.00,23.00,14.00,15.07,,
2.12,2.34,360.00,61.00,2.64,22.83,0.50,10.00,1.00,0.00,1.00,23.00,28.00,17.05,,
2.26,2.49,360.00,27.56,43.39,16.19,0.50,10.00,1.00,0.00,1.00,23.00,3.00,12.87,,
2.26,2.49,360.00,27.56,43.39,16.19,0.50,10.00,1.00,0.00,1.00,23.00,7.00,16.61,,
2.26,2.49,360.00,27.56,43.39,16.19,0.50,10.00,1.00,0.00,1.00,23.00,14.00,23.32,,
2.26,2.49,360.00,27.56,43.39,16.19,0.50,10.00,1.00,0.00,1.00,23.00,28.00,28.27,,
2.11,2.34,360.00,64.12,2.43,20.59,0.50,10.00,1.00,0.00,1.00,23.00,3.00,10.12,,
2.11,2.34,360.00,64.12,2.43,20.59,0.50,10.00,1.00,0.00,1.00,23.00,7.00,14.08,,
2.11,2.34,360.00,64.12,2.43,20.59,0.50,10.00,1.00,0.00,1.00,23.00,14.00,16.28,,
2.11,2.34,360.00,64.12,2.43,20.59,0.50,10.00,1.00,0.00,1.00,23.00,28.00,18.37,,
2.11,2.34,360.00,67.24,2.21,18.34,0.50,10.00,1.00,0.00,1.00,23.00,3.00,17.38,,
2.11,2.34,360.00,67.24,2.21,18.34,0.50,10.00,1.00,0.00,1.00,23.00,7.00,22.33,,
2.11,2.34,360.00,67.24,2.21,18.34,0.50,10.00,1.00,0.00,1.00,23.00,14.00,24.64,,
2.11,2.34,360.00,67.24,2.21,18.34,0.50,10.00,1.00,0.00,1.00,23.00,28.00,27.83,,
2.24,2.48,360.00,34.03,39.10,14.61,0.50,10.00,1.00,0.00,1.00,23.00,3.00,20.79,,
2.24,2.48,360.00,34.03,39.10,14.61,0.50,10.00,1.00,0.00,1.00,23.00,7.00,27.61,,
2.24,2.48,360.00,34.03,39.10,14.61,0.50,10.00,1.00,0.00,1.00,23.00,14.00,33.55,,
2.24,2.48,360.00,34.03,39.10,14.61,0.50,10.00,1.00,0.00,1.00,23.00,28.00,39.27,,
2.23,2.46,360.00,40.49,34.81,13.03,0.50,10.00,1.00,0.00,1.00,23.00,3.00,21.23,,
2.23,2.46,360.00,40.49,34.81,13.03,0.50,10.00,1.00,0.00,1.00,23.00,7.00,30.36,,
2.23,2.46,360.00,40.49,34.81,13.03,0.50,10.00,1.00,0.00,1.00,23.00,14.00,34.21,,
2.23,2.46,360.00,40.49,34.81,13.03,0.50,10.00,1.00,0.00,1.00,23.00,28.00,37.73,,
2.24,2.48,360.00,30.90,39.32,16.85,0.50,10.00,1.00,0.00,1.00,23.00,3.00,18.04,,
2.24,2.48,360.00,30.90,39.32,16.85,0.50,10.00,1.00,0.00,1.00,23.00,7.00,26.18,,
2.24,2.48,360.00,30.90,39.32,16.85,0.50,10.00,1.00,0.00,1.00,23.00,14.00,27.61,,
2.24,2.48,360.00,30.90,39.32,16.85,0.50,10.00,1.00,0.00,1.00,23.00,28.00,29.37,,
2.21,2.44,360.00,37.59,31.17,18.18,0.50,10.00,1.00,0.00,1.00,23.00,3.00,20.79,,
2.21,2.44,360.00,37.59,31.17,18.18,0.50,10.00,1.00,0.00,1.00,23.00,7.00,24.53,,
2.21,2.44,360.00,37.59,31.17,18.18,0.50,10.00,1.00,0.00,1.00,23.00,14.00,30.36,,
2.21,2.44,360.00,37.59,31.17,18.18,0.50,10.00,1.00,0.00,1.00,23.00,28.00,33.55,,
2.19,2.41,360.00,44.28,23.02,19.51,0.50,10.00,1.00,0.00,1.00,23.00,3.00,16.06,,
2.19,2.41,360.00,44.28,23.02,19.51,0.50,10.00,1.00,0.00,1.00,23.00,7.00,19.58,,
